,id,price,level,levels,rooms,area,kitchen_area,house_id
122,122,4800069,1,4,1,34.25,17.01,1369322
123,123,6500000,13,17,1,45.4,10.4,2671178
124,124,4000000,5,8,2,40.0,8.0,2478851
125,125,8160000,7,12,3,90.3,14.6,2012684
126,126,1580000,4,10,1,34.0,8.8,1910405
127,127,4000000,10,16,1,48.0,15.0,1845575
128,128,4650000,11,22,2,56.0,9.0,1662783
129,129,4500000,6,16,2,45.0,10.0,1580524
130,130,6273000,7,13,1,36.9,11.1,1439313
131,131,8450000,4,5,2,57.0,8.0,766313
132,132,2500000,5,5,3,60.0,8.0,707595
133,133,39585300,2,9,2,75.7,28.1,748258
134,134,2100000,11,17,1,34.8,9.0,2657917
135,135,7900000,5,7,2,71.2,11.2,2532029
136,136,8450000,9,12,2,56.0,9.0,2012625
137,137,2700000,5,5,3,88.8,10.4,2715363
138,138,1350000,5,5,1,30.4,6.3,1682594
139,139,3100000,11,25,1,35.0,8.4,2635293
140,140,1250000,1,5,1,31.0,6.0,2153712
141,141,4200000,6,6,2,47.0,8.1,1113665
142,142,3850000,2,16,1,55.0,17.0,1975130
143,143,9500000,13,16,1,35.0,9.0,1859471
144,144,4108500,8,24,1,41.0,10.2,623493
145,145,7000000,3,16,2,65.0,20.0,2120749
146,146,11300000,5,9,3,60.0,6.0,2799573
147,147,16700000,9,12,1,42.0,13.0,1943465
148,148,5150000,2,4,3,53.0,6.0,1073839
149,149,7900000,9,10,3,77.0,20.0,2646608
150,150,7500000,6,10,2,70.0,12.9,1015238
151,151,3651800,10,24,3,58.9,9.6,1847156
152,152,5400000,3,17,2,76.0,14.0,1331032
153,153,18000000,11,17,3,85.0,16.0,1552872
154,154,7200000,14,14,1,37.0,7.5,876729
155,155,9200000,8,9,2,50.4,7.9,669067
156,156,4450000,16,17,1,36.7,10.6,2367044
157,157,19900000,4,24,3,88.3,13.2,987218
158,158,1800000,1,5,1,33.0,6.8,1166484
159,159,5890000,9,10,3,96.3,14.0,2749013
160,160,3700000,10,16,1,36.0,9.0,2065114
161,161,7100000,3,4,2,66.65,15.0,757840
162,162,5500000,6,8,1,27.0,7.0,2603809
163,163,4500000,8,10,2,52.0,10.0,2617875
164,164,5500000,2,12,2,66.0,12.0,1818789
165,165,1900000,2,2,2,35.0,6.4,2370341
166,166,2200000,1,5,2,44.5,6.5,2308067
167,167,2795000,8,20,0,26.3,7.0,2305930
168,168,3000000,5,5,3,67.0,6.0,1490868
169,169,15876000,14,16,3,70.0,8.6,1059109
170,170,5600000,3,18,2,61.0,11.7,1275665
171,171,49990000,18,25,3,80.0,27.0,2339030
172,172,14000000,6,13,1,45.0,10.0,1412144
173,173,3551100,13,18,1,42.9,16.8,1352146
174,174,9093480,3,3,2,49.8,19.17,1369322
175,175,5843000,2,9,1,36.0,11.6,1064258
176,176,32500000,10,30,0,110.0,12.0,2644801
177,177,6100000,9,19,0,40.0,7.0,2065114
178,178,4650000,9,10,2,57.0,12.2,1729355
179,179,3950000,5,10,2,56.0,11.0,2118021
180,180,2775000,8,10,4,70.2,7.9,939017
181,181,7300000,4,9,3,59.1,6.8,2564361
182,182,2230000,7,9,2,49.7,9.0,1560979
183,183,5457431,2,17,1,29.0,6.0,2381110
184,184,8300000,5,6,2,55.0,9.4,2402631
185,185,4850000,3,9,4,64.0,9.0,2807958
186,186,5850000,4,16,2,58.6,9.3,774992
187,187,3070000,3,5,2,43.7,6.0,1230788
188,188,10190000,9,17,2,58.3,10.7,2039979
189,189,2691000,4,18,1,35.88,10.6,1317178
190,190,1200000,3,5,1,33.0,9.0,1681564
191,191,5400000,3,9,2,57.0,8.2,2293767
192,192,2270000,1,9,3,61.8,9.0,1976370
193,193,2200000,3,5,1,31.2,6.7,2749150
194,194,19729402,7,23,3,103.6,18.5,1285227
195,195,7560000,23,25,2,61.61,10.6,893484
196,196,19900000,3,16,3,73.0,10.0,1305114
197,197,2816710,16,17,2,59.93,9.75,2695046
198,198,2400000,11,13,1,37.0,9.0,2083755
199,199,2300000,5,5,4,70.0,7.0,1303524
200,200,3930000,12,15,1,42.0,9.0,843377
201,201,3459000,1,9,1,45.0,22.3,811259
202,202,2960000,1,18,1,39.4,12.0,1202914
203,203,1500000,3,5,1,30.0,6.0,880502
204,204,11900000,8,11,2,55.0,27.0,694599
205,205,2400000,9,9,2,45.0,7.0,2313178
206,206,8300000,14,14,1,34.1,12.0,1890040
207,207,6550313,3,4,1,31.7,10.44,2721770
208,208,2400000,3,6,2,50.0,9.0,1373573
209,209,2900000,8,10,2,68.0,9.0,634838
210,210,3980000,2,9,3,59.9,6.5,2669459
211,211,3200000,2,3,1,42.6,18.0,2172173
212,212,4872000,1,3,2,69.6,12.0,2204662
213,213,4700000,8,23,3,100.0,18.0,1934446
214,214,5600000,7,18,2,74.0,13.0,1196003
215,215,5000000,11,26,1,43.5,11.6,963177
216,216,2890000,4,9,3,60.0,7.0,1853326
217,217,3400000,4,5,3,78.0,12.0,913572
218,218,10300800,4,5,2,88.8,25.4,2201212
219,219,980000,4,5,1,30.6,7.0,1095640
220,220,2400000,1,9,3,70.5,8.0,768310
221,221,2729450,4,17,1,39.5,16.2,2214972
222,222,9623000,9,9,2,87.24,25.07,2738003
223,223,2600000,8,9,1,34.1,7.8,2218211
224,224,6850000,8,25,2,54.0,12.0,1766815
225,225,4200000,10,17,2,73.0,13.0,940007
226,226,5985800,15,26,1,34.6,15.8,1124175
227,227,5550000,3,5,3,77.4,10.0,2170867
228,228,17783000,10,30,3,137.0,31.3,656685
229,229,17500000,5,17,2,51.0,8.5,1211052
230,230,8860000,4,14,1,39.0,8.6,2211856
231,231,1700000,1,5,2,37.4,6.0,1721881
232,232,5629508,14,24,2,61.7,11.0,868999
233,233,9041550,4,17,1,39.0,19.0,1157348
234,234,3050000,2,2,3,60.3,6.9,2154362
235,235,3500000,7,9,3,65.0,8.5,1764593
236,236,10900000,3,9,3,104.0,16.0,2223325
237,237,11200000,6,25,3,82.0,10.4,2016621
